source,description,description_clean,unit_clean,quantity,rate,material,grade,emission_factor,ef_unit,cci,cci_outlier,extr_method
PA,Basement - 3 (for Basement beyond Tower),basement 3 for basement beyond tower,m3,58.22518035039505,5822.0,concrete,M35,356.3,kgCO2e/m3,16.3402,False,grade_propagation
PA,Basement 3,basement 3,m3,7.68,7559.0,concrete,M50,420.0,kgCO2e/m3,17.9976,False,grade_propagation
PA,Basement 2,basement 2,m3,3.6,7559.0,concrete,M50,420.0,kgCO2e/m3,17.9976,False,grade_propagation
PA,Club House Terrace,club house terrace,m3,90.0,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,Basement 1,basement 1,m3,1290.0,7559.0,concrete,M50,420.0,kgCO2e/m3,17.9976,False,grade_propagation
PA,Ground Floor,ground floor,m3,63.375049609736735,7559.0,concrete,M50,420.0,kgCO2e/m3,17.9976,False,grade_propagation
PA,First Floor,first floor,m3,443.65531757500025,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Second Floor,second floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Third Floor,third floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Fourth Floor,fourth floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Fifth Floor,fifth floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Sixth Floor,sixth floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Seventh Floor,seventh floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Eight Floor,eight floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Ninth Floor,ninth floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Tenth Floor,tenth floor,m3,450.8299925750002,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Eleventh Floor,eleventh floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twelfth Floor,twelfth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Thirteenth Floor,thirteenth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Fourteenth Floor,fourteenth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Fifteenth Floor,fifteenth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Sixteenth Floor,sixteenth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Seventeenth Floor,seventeenth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Eighteenth Floor,eighteenth floor,m3,510.3056650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Nineteenth Floor,nineteenth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twentieth Floor,twentieth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty First Floor,twenty first floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Second Floor,twenty second floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Third Floor,twenty third floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Fourth Floor,twenty fourth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Fifth Floor,twenty fifth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Sixth Floor,twenty sixth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Seventh Floor,twenty seventh floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Eighth Floor,twenty eighth floor,m3,510.3056650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Twenty Ninth Floor,twenty ninth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Thirtyeth Floor,thirtyeth floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Thirty First Floor,thirty first floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Thirty Second Floor,thirty second floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Thirty Three Floor,thirty three floor,m3,459.3656650000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Terrace,terrace,m3,465.0986700000001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Above Terrace,above terrace,m3,331.61810125,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,"Raft Foundation for Tower columns, Core walls, Retaining walls",raft foundation for tower columns core walls retaining walls,m3,10041.1333,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,"Footings for Podium columns, Core walls, Retaining walls",footings for podium columns core walls retaining walls,m3,1565.1500716332378,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,"Grade slab of 250mm / 300 mm thickness, including the folds for catch basins, ramp drains or wherever specified at 4th Basement level. 
",grade slab of thickness including the folds for catch basins ramp drains or wherever specified at 4th basement level,m3,2037.5155802292263,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,Retaining walls - Grade M25,retaining walls grade m25,m3,1830.0,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,Ramp Beam - Grade M25,ramp beam grade m25,m3,69.0,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,Ramp slab - Grade M25,ramp slab grade m25,m3,160.0,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,RCC Parapet / upstand at all levels of specified thickness - Grade M25,rcc parapet upstand at all levels of specified thickness grade m25,m3,425.0,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,Bottom slab,bottom slab,m3,375.0,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Walls,walls,m3,250.0,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Top slab,top slab,m3,69.0,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Plat Form slab,plat form slab,m3,91.0,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Wall,wall,m3,58.5,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,Staircase at all floors & heights,staircase at all floors heights,m3,167.36,5633.0,concrete,M25,301.8,kgCO2e/m3,18.6647,False,grade_propagation
PA,Chejjas / Lofts,chejjas lofts,m3,10.0,5633.0,concrete,M25,301.8,kgCO2e/m3,18.6647,False,grade_propagation
PA,RCC Brackets / Fins / Ledges at all levels,rcc brackets fins ledges at all levels,m3,10.0,5633.0,concrete,M25,301.8,kgCO2e/m3,18.6647,False,grade_propagation
PA,Electrical High Mast,electrical high mast,m3,15.0,5633.0,concrete,M25,301.8,kgCO2e/m3,18.6647,False,grade_propagation
PA,Bottom Slab,bottom slab,m3,141.11903999999998,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,RCC Walls,rcc walls,m3,205.48973066666665,5584.0,concrete,M25,301.8,kgCO2e/m3,18.5023,False,grade_propagation
PA,Ground floor,ground floor,m3,1002.3976375000004,7559.0,concrete,M50,420.0,kgCO2e/m3,17.9976,False,grade_propagation
PA,1F-5F,1f 5f,m3,5127.1991125,6093.0,concrete,M40,381.5,kgCO2e/m3,15.9712,False,grade_propagation
PA,6F-11F,6f 11f,m3,5890.765700000001,5822.0,concrete,M35,356.3,kgCO2e/m3,16.3402,False,grade_propagation
PA,12F-Terrace,12f terrace,m3,19885.088355000004,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,1F-Terrace,1f terrace,m3,4841.062117750001,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,GF-Terrace,gf terrace,m3,875.9563529999997,5643.0,concrete,M30,331.2,kgCO2e/m3,17.038,False,grade_propagation
PA,"Raft for columns, Core walls, Retaining walls",raft for columns core walls retaining walls,m2,4121.3078000000005,401.0,concrete,M30,66.24,kgCO2e/m2,6.0537,False,grade_propagation_m2
PA,"Grade slab of 200mm thickness, including the folds for catch basins, ramp drains or wherever specified at 4th Basement level. ",grade slab of thickness including the folds for catch basins ramp drains or wherever specified at 4th basement level,m2,100.0,375.0,concrete,M30,66.24,kgCO2e/m2,5.6612,False,grade_propagation_m2
PA,Retaining walls,retaining walls,m2,13148.134,479.0,concrete,M30,66.24,kgCO2e/m2,7.2313,False,section_context
PA,Ramp Beam,ramp beam,m2,975.0,752.0,concrete,M30,24.84,kgCO2e/m2,30.2738,False,section_context
PA,Ramp slab,ramp slab,m2,965.0,665.0,concrete,M30,41.4,kgCO2e/m2,16.0628,False,grade_propagation_m2
PA,RCC Parapet / upstand at all levels of specified thickness,rcc parapet upstand at all levels of specified thickness,m2,4425.0,479.0,concrete,M30,24.84,kgCO2e/m2,19.2834,False,keyword
PA,Staircase at all floors & heights.,staircase at all floors heights,m2,1285.0,622.0,concrete,M30,24.84,kgCO2e/m2,25.0403,False,section_context
PA,Lintels  ,lintels,m2,1255.0,686.0,concrete,M30,24.84,kgCO2e/m2,27.6167,False,section_context
PA,Chejjas/Lofts,chejjas lofts,m2,100.0,655.0,concrete,M30,24.84,kgCO2e/m2,26.3688,False,section_context
PA,RCC Brackets/Fins/Ledges at all levels,rcc brackets fins ledges at all levels,m2,150.0,686.0,concrete,M30,24.84,kgCO2e/m2,27.6167,False,keyword
PA,"DG, Chillers, Pump & Transfo Foundations",dg chillers pump transfo foundations,m2,150.0,517.0,concrete,M30,24.84,kgCO2e/m2,20.8132,False,section_context
PA,Ground floor to 33rd floor,ground floor to 33rd floor,m2,27430.618875,532.0,plaster,,0.238,kgCO2e/kg,2235.2941,True,section_context
PA,Fe 500,fe 500,ton,10489.139,57250.0,concrete,M20,284.9,kgCO2e/m3,200.9477,False,section_context_defaultgrade
PA,"For OHT/ LMR Ladders ,Basement/Ramp gratings, PHE Shaft Cat Ladder, Terrace Level Steel Staircase , STP walkways , STP Staircase ,STP Railing, pump room & Other Miscellaneous Work",for oht lmr ladders basement ramp gratings phe shaft cat ladder terrace level steel staircase stp walkways stp staircase stp railing pump room other miscellaneous work,ton,145.56007974,92807.0,concrete,M20,284.9,kgCO2e/m3,325.7529,False,section_context_defaultgrade
PA,"For FHC , Electrical , Communication & PHE shaft Platforms",for fhc electrical communication phe shaft platforms,ton,111.725008,92807.0,concrete,M20,284.9,kgCO2e/m3,325.7529,False,section_context_defaultgrade
PA,20mm dia (heavy duty),dia heavy duty,nos,45.0,1120.0,concrete,M20,284.9,kgCO2e/m3,3.9312,False,section_context_defaultgrade
PA,16mm dia (heavy duty),dia heavy duty,nos,23.0,725.0,concrete,M20,284.9,kgCO2e/m3,2.5448,False,section_context_defaultgrade
PA,12mm dia,dia,nos,80.0,459.0,concrete,M20,284.9,kgCO2e/m3,1.6111,False,section_context_defaultgrade
PA, 8mm dia,dia,nos,40.0,213.0,concrete,M20,284.9,kgCO2e/m3,0.7476,False,section_context_defaultgrade
PA,10mm dia,dia,nos,55.0,267.0,concrete,M20,284.9,kgCO2e/m3,0.9372,False,section_context_defaultgrade
PA,16mm dia,dia,nos,95.0,725.0,concrete,M20,284.9,kgCO2e/m3,2.5448,False,section_context_defaultgrade
PA,20mm dia,dia,nos,25.0,1120.0,concrete,M20,284.9,kgCO2e/m3,3.9312,False,section_context_defaultgrade
PA,25mm dia,dia,nos,30.0,1898.0,concrete,M20,284.9,kgCO2e/m3,6.662,False,section_context_defaultgrade
PA,For Terrace,for terrace,m2,4625.0,719.0,concrete,M20,21.3675,kgCO2e/m2,33.6492,False,section_context
PA,"Protective layer(Horizontal ) :  Providing & Laying M20 grade screed concrete to required slope admix with intergral waterproofing compound Conplast WL  of FOSROC make or Equivalent at the dosage of 125ml/bag of cement over waterproofing layer to a minimum thickness of 50mm as per site requirement, cost for labour charge. Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.
",protective layer horizontal providing laying m20 grade screed concrete to required slope admix with intergral waterproofing compound conplast wl of fosroc make or equivalent at the dosage of 125ml bag of cement over waterproofing layer to a minimum thickness of as per site requirement cost for labour charge treatment shall be provided from standard manufacturers like basf sika fosroc or equivalent,m2,1420.0,727.0,concrete,M20,14.245,kgCO2e/m2,51.0355,False,keyword
PA,STP-Internal,stp internal,m2,3200.0,376.0,concrete,M20,21.3675,kgCO2e/m2,17.5968,False,section_context
PA,"Providing and laying vacuum dewatered flooring M20 Grade of 100mm thickness  laid and vibrated with double beam screed vibrator till  achieving optimum  compaction and leveling. The vibrated surface is then leveled using a straight edge. A system of lower mats & top mat is laid on the green concrete & this is attached to a vacuum pump to draw  out surplus water if any. The concrete is left to stiffen. When the base concrete has stiffened to the point, Floor Hardener is applied at an even application rate of between 5-7 Kg/Sqmt. The concrete shall be  further compacted and leveled using Power Floater followed by finishing as per the requirement using Power Trowel (excludes ramp area). The rate to include curing, protecting the concrete floor etc., complete. Grooves (4mm X10mm) shall be provided for a bay size of 4m X 4m & grooves and filling the grooves with Sealent (Colpor - 200 from Fosroc chemicals or Poly sulphide sealant (Pedilite / BASF or equivalent).. For Parking Area",providing and laying vacuum dewatered flooring m20 grade of thickness laid and vibrated with double beam screed vibrator till achieving optimum compaction and leveling the vibrated surface is then leveled using a straight edge a system of lower mats top mat is laid on the green concrete this is attached to a vacuum pump to draw out surplus water if any the concrete is left to stiffen when the base concrete has stiffened to the point floor hardener is applied at an even application rate of between 5 7 kg sqmt the concrete shall be further compacted and leveled using power floater followed by finishing as per the requirement using power trowel excludes ramp area the rate to include curing protecting the concrete floor etc complete grooves x10mm shall be provided for a bay size of 4m x 4m grooves and filling the grooves with sealent colpor 200 from fosroc chemicals or poly sulphide sealant pedilite basf or equivalent for parking area,m2,40141.2,761.0,concrete,M20,28.49,kgCO2e/m2,26.7111,False,keyword
PA,"Providing & laying M20 grade controlled cement concrete IPS flooring of  average 50mm thk IPS floor concrete (Broom Finish) with power floating using 12mm downsize aggregates laid in panels not exceeding 2.5 SMT in area laid to proper level/slope etc. Rate to include curing & protection etc complete., with all lead and lift and as directed Architect/Engineer in charge. including grooves of edge at the edge of the treads of size 5mm X 30mm.and grooves to be filled with polyurethane sealant.  - For Ramps",providing laying m20 grade controlled cement concrete ips flooring of average thk ips floor concrete broom finish with power floating using downsize aggregates laid in panels not exceeding 2 5 smt in area laid to proper level slope etc rate to include curing protection etc complete with all lead and lift and as directed architect engineer in charge including grooves of edge at the edge of the treads of size x and grooves to be filled with polyurethane sealant for ramps,m2,2262.0,415.0,concrete,M20,14.245,kgCO2e/m2,29.133,False,keyword
PA,"Providing & laying minimum 75mm thick granolithic flooring laid in panels, with M15 grade concrete (20mm down aggregate) and top surface shall be finished with 1:1.5 granolithic mix base (1 cement: 1.5 parts granite chips 10mm and down) including laying in panels, consolidating, curing etc. complete.  The rate also to include finishing the top with mechanical float as per specifications and instructions. Measurements shall be considered as floor area only. ",providing laying minimum thick granolithic flooring laid in panels with m15 grade concrete down aggregate and top surface shall be finished with 1 1 5 granolithic mix base 1 cement 1 5 parts granite chips and down including laying in panels consolidating curing etc complete the rate also to include finishing the top with mechanical float as per specifications and instructions measurements shall be considered as floor area only,m2,1500.0,546.0,concrete,M15,20.1075,kgCO2e/m2,27.154,False,keyword
PA,"Providing and laying Cement  Screed Concrete Flooring average of 50mm thick for the shaft over chequered plate of specified thickness in cement concrete 1:2:4 using 12mm and down graded aggregates to be finished,  includes compacting, curing, antiskid grooves,  etc., complete  with all leads and lifts at all levels, and as per the instructions of Engineer in Charge .(Chequered plate will be paid in relevant item)",providing and laying cement screed concrete flooring average of thick for the shaft over chequered plate of specified thickness in cement concrete 1 2 4 using and down graded aggregates to be finished includes compacting curing antiskid grooves etc complete with all leads and lifts at all levels and as per the instructions of engineer in charge chequered plate will be paid in relevant item,m2,968.0,258.0,concrete,M20,14.245,kgCO2e/m2,18.1116,False,keyword_defaultgrade
PA,"Providing and fixing at parking floor to floor expansion joint Kantaflex model no. – XH4FS-2 for 50mm in accordance with the Structural drawing and specifications. The system is proprietary design consisting of aluminum profiles. The expansion joint includes aluminum frames and centre plate which slides between the frames to allow the movement joints. The system shall withstand continuous pedestrian, vehicular traffic and maintain water tightness. The system should accommodate seismic movement without damage to the components. Aluminum to conform as per ASTM B221 for extrusion alloy 6063-T5/T6 and contain moisture barrier for maintaining water tightness. Cost to include drilling and fixing of extrusions using heavy duty anchor bolts, and sealing the joints capable of withstanding repeated extensions, compressions, vibrations and cyclic movement without lot of adhesion and resist deterioration by weathering, sunlight, ozone, water, salt water, oil, fuels, acids and most of the commonly used acids, etc., complete within 50% movement capacity.",providing and fixing at parking floor to floor expansion joint kantaflex model no xh4fs 2 for in accordance with the structural drawing and specifications the system is proprietary design consisting of aluminum profiles the expansion joint includes aluminum frames and centre plate which slides between the frames to allow the movement joints the system shall withstand continuous pedestrian vehicular traffic and maintain water tightness the system should accommodate seismic movement without damage to the components aluminum to conform as per astm b221 for extrusion alloy 6063 t5 t6 and contain moisture barrier for maintaining water tightness cost to include drilling and fixing of extrusions using heavy duty anchor bolts and sealing the joints capable of withstanding repeated extensions compressions vibrations and cyclic movement without lot of adhesion and resist deterioration by weathering sunlight ozone water salt water oil fuels acids and most of the commonly used acids etc complete within 50 movement capacity,m,400.0,6340.0,aluminium,,6.669,kgCO2e/kg,950.6673,True,keyword
PA,"Providing and fixing at parking wall to wall expansion joint Kantaflex model no. – WD-1 for 25mm in accordance with the Structural drawing and specifications. The system is proprietary design consisting of aluminum profiles. The expansion joint includes aluminum clip, aluminum cover plate and supporting isolated gasket for wall to wall condition. The cover plate snaps into the clip provided with isolated gasket on cover edges for better fitment on the wall with no slipping down tendency. The system should be fixed with appropriate anchors and fasteners and the exposed surface match the adjacent finishes. Aluminum to conform as per ASTM B221 for extrusion alloy 6063-T5.                                                                                                                                                     Cost to include drilling and fixing of extrusions using heavy duty anchor bolts, and sealing the joints capable of withstanding repeated extensions, compressions, and cyclic movement without lot of adhesion and resist deterioration by weathering, sunlight, ozone, water, salt water, oil, fuels, acids and most of the commonly used acids, etc., ",providing and fixing at parking wall to wall expansion joint kantaflex model no wd 1 for in accordance with the structural drawing and specifications the system is proprietary design consisting of aluminum profiles the expansion joint includes aluminum clip aluminum cover plate and supporting isolated gasket for wall to wall condition the cover plate snaps into the clip provided with isolated gasket on cover edges for better fitment on the wall with no slipping down tendency the system should be fixed with appropriate anchors and fasteners and the exposed surface match the adjacent finishes aluminum to conform as per astm b221 for extrusion alloy 6063 t5 cost to include drilling and fixing of extrusions using heavy duty anchor bolts and sealing the joints capable of withstanding repeated extensions compressions and cyclic movement without lot of adhesion and resist deterioration by weathering sunlight ozone water salt water oil fuels acids and most of the commonly used acids etc,m,75.0,3674.0,aluminium,,6.669,kgCO2e/kg,550.9072,False,keyword
PA, 160mm dia ,dia,m,2921.41,2550.0,concrete,M20,284.9,kgCO2e/m3,8.9505,False,section_context_defaultgrade
PA,"Providing and constructing external well for sub soil drainage disposal with precast perforated RCC rings of 2m dia and 75mm thick reinforced with 8mm stirrups at 200mm c/c both ways including excavation in all types of soil, providing sand filling at the bottom and filter material at the sides of the well consisting of 40 - 80 m aggregates / boulders for a width of 300mm with proper packing, providing an RCC top cover of 150mm thick as per the structural drawing, necessary excavation, connecting to the subsoil drainage, curing, all leads and lifts etc., complete. Well shall be minimum 6.00m below the basement level",providing and constructing external well for sub soil drainage disposal with precast perforated rcc rings of 2m dia and thick reinforced with stirrups at c c both ways including excavation in all types of soil providing sand filling at the bottom and filter material at the sides of the well consisting of 40 80 m aggregates boulders for a width of with proper packing providing an rcc top cover of thick as per the structural drawing necessary excavation connecting to the subsoil drainage curing all leads and lifts etc complete well shall be minimum 6 00m below the basement level,nos,8.0,82875.0,concrete,M20,284.9,kgCO2e/m3,290.8915,False,keyword_defaultgrade
PA,"Supplying and installing MS fabricated ramp drain grating using 60mm dia. M.S pipes at 100mm CC and 8mm thick MS flats welded together. The grating shall be placed on M.S angle of size 75mm x 75mm x 6mm the quoted rate shall include for painting with two coats of enamel paint overa coat of primer etc., complete width of the drain 300mm.",supplying and installing ms fabricated ramp drain grating using dia m s pipes at cc and thick ms flats welded together the grating shall be placed on m s angle of size x x the quoted rate shall include for painting with two coats of enamel paint overa coat of primer etc complete width of the drain,m,23.0,5738.0,steel,Fe500,1.72,kgCO2e/kg,3336.0465,True,keyword
PA,"Providing and casting RCC Inspection chambers of M20grade & size 600x600x750mm(clear dimensions)  with100mm thick walls and 100mm thick bottom slab including fixing of necessary PVC sleeves, Placing in position theRCC heavy duty Cover of 100mm thick as per the drawing issued by Consultants. Including the cost of Shuttering, cost of sleeve but excluding the cost of Reinforcement steel which shall be measured separately etc., complete",providing and casting rcc inspection chambers of m20grade size 600x600x750mm clear dimensions with100mm thick walls and thick bottom slab including fixing of necessary pvc sleeves placing in position thercc heavy duty cover of thick as per the drawing issued by consultants including the cost of shuttering cost of sleeve but excluding the cost of reinforcement steel which shall be measured separately etc complete,nos,64.0,12199.0,concrete,M20,284.9,kgCO2e/m3,42.8185,False,keyword_defaultgrade
PA, - do - for 450x450x600mm size,do for 450x450x600mm size,nos,10.0,9047.0,concrete,M20,284.9,kgCO2e/m3,31.755,False,section_context_defaultgrade
PA,"- Necessary shuttering,curing etc.,complete",necessary shuttering curing etc complete,m,50.0,7013.0,concrete,M20,284.9,kgCO2e/m3,24.6157,False,section_context
